gene	chr	tx_start	tx_end	strand
C20orf186	20	31669318	31699556	+
C20orf194	20	3229948	3388255	-
C20orf195	20	62184373	62188033	+
C20orf196	20	5731043	5844556	+
C20orf197	20	58630980	58648008	+
C20orf20	20	61427805	61431943	+
C20orf201	20	62714733	62715712	-
C20orf202	20	1184098	1188916	+
C20orf203	20	31219428	31239783	-
C20orf24	20	35234167	35240958	+
C20orf26	20	20033158	20341346	+
C20orf27	20	3734158	3748452	-
C20orf29	20	3801203	3805954	+
C20orf3	20	24943581	24973425	-
C20orf30	20	5080489	5093733	-
C20orf4	20	34824447	34844853	+
C20orf43	20	55043647	55093942	+
C20orf46	20	1161215	1165117	-
C20orf54	20	740725	749228	-
C20orf7	20	13765672	13799065	+
C20orf70	20	31755960	31769223	+
C20orf71	20	31805135	31815557	+
C20orf72	20	17949762	17971759	+
C20orf79	20	18794370	18795033	+
C20orf85	20	56725983	56736181	+
C20orf94	20	10415951	10604025	+
C20orf96	20	251524	271390	-
C21orf2	21	45748827	45759285	-
C21orf29	21	45917775	46131495	-
C21orf33	21	45553494	45565604	+
C21orf45	21	33640532	33651376	-
C21orf56	21	47581063	47604373	-
C21orf57	21	47706267	47717664	+
C21orf58	21	47721050	47743785	-
C21orf59	21	33974109	33984666	-
C21orf63	21	33784752	33887697	+
C21orf7	21	30452873	30548200	+
C21orf70	21	46359955	46396887	+
C21orf91	21	19161285	19191703	-
C22orf13	22	24936406	24951275	-
C22orf15	22	24105208	24108049	+
C22orf23	22	38339533	38349603	-
C22orf24	22	32329508	32341336	-
C22orf25	22	20008631	20053447	+
C22orf26	22	46446339	46450024	-
C22orf28	22	32783562	32808274	-
C22orf29	22	19833662	19842371	-
C22orf30	22	32077336	32146120	-
C22orf31	22	29454660	29457907	-
C22orf32	22	42475699	42480287	+
C22orf33	22	37387161	37403877	-
C22orf36	22	24981591	24989035	-
C22orf39	22	19428417	19435755	-
C22orf40	22	46639911	46646193	-
C22orf41	22	50989542	51001328	-
C22orf42	22	32545521	32555243	-
C22orf43	22	23950640	23974487	-
C22orf46	22	42086547	42094140	+
C22orf9	22	45588123	45636650	-
C2CD2	21	43305220	43373999	-
C2CD2L	11	118978093	118987826	+
C2CD3	11	73745480	73882064	-
C2CD4A	15	62359176	62363109	+
C2CD4B	15	62455737	62457482	-
C2CD4C	19	405444	409170	-
C2CD4D	1	151810339	151813033	-
C2orf15	2	99758185	99767926	+
C2orf16	2	27799389	27805588	+
C2orf18	2	26987142	27004099	+
C2orf24	2	220036620	220041702	-
C2orf27A	2	132480064	132524977	+
C2orf27B	2	132552534	132559234	-
C2orf28	2	27434899	27440044	+
C2orf29	2	101869345	101886777	+
C2orf3	2	75889834	75938111	-
C2orf34	2	44589043	44999729	+
C2orf39	2	26624784	26679579	+
C2orf40	2	106682113	106694601	+
C2orf42	2	70377019	70418151	-
C2orf43	2	20884819	21022827	-
C2orf44	2	24252206	24270296	-
C2orf47	2	200820040	200828845	+
C2orf48	2	10281509	10351856	+
C2orf49	2	105954013	105961984	+
C2orf50	2	11273179	11286916	+
C2orf51	2	88824169	88829102	+
C2orf53	2	27359715	27362332	-
C2orf54	2	241825466	241835573	-
C2orf55	2	99410309	99552684	-
C2orf56	2	37458774	37476301	+
C2orf57	2	232457575	232458992	+
C2orf60	2	200793635	200820459	-
C2orf61	2	47314132	47382517	-
C2orf62	2	219221579	219232816	+
C2orf63	2	55399687	55459699	-
C2orf64	2	99215866	99224955	-
C2orf65	2	74785019	74875164	-
C2orf66	2	197670010	197675000	-
C2orf67	2	210885437	211036051	-
C2orf68	2	85832376	85839179	-
C2orf69	2	200775979	200792994	+
C2orf7	2	73455136	73460356	-
C2orf70	2	26785481	26802394	+
C2orf71	2	29284558	29297127	-
C2orf72	2	231902281	231914425	+
C2orf73	2	54558071	54588714	+
C2orf74	2	61372243	61391964	+
C2orf76	2	120060020	120124258	-
C2orf77	2	170501935	170550931	-
C2orf78	2	74011316	74044274	+
C2orf79	2	25013138	25016251	-
C2orf80	2	209030081	209054773	-
C2orf81	2	74641303	74644844	-
C2orf82	2	233734994	233741107	+
C2orf83	2	228474807	228498036	-
C2orf84	2	24397972	24414566	+
C2orf85	2	242811886	242815482	+
C2orf86	2	63348537	63815851	-
C2orf88	2	191002486	191068208	+
C2orf89	2	85048798	85108252	-
C3	19	6677847	6720662	-
C3AR1	12	8210919	8218955	-
C3orf1	3	119217368	119243123	+
C3orf10	3	10157333	10168873	+
C3orf14	3	62305396	62319318	+
C3orf15	3	119421869	119485947	+
C3orf16	3	149478892	149510610	-
C3orf17	3	112721294	112738555	-
C3orf18	3	50595457	50608458	-
C3orf19	3	14693253	14714164	+
C3orf20	3	14716606	14814542	+
C3orf21	3	194789015	194991895	-
C3orf22	3	126268520	126277758	-
C3orf23	3	44379611	44450939	+
C3orf24	3	10123005	10149915	-
C3orf26	3	99536678	99897476	+
C3orf27	3	128290844	128294929	-
C3orf30	3	118864997	118870302	+
C3orf31	3	11831920	11888352	-
C3orf32	3	8661321	8693737	-
C3orf33	3	155480401	155524055	-
C3orf34	3	196433149	196439123	-
C3orf35	3	37440968	37476987	+
C3orf36	3	133646990	133648656	-
C3orf37	3	128997684	129024133	+
C3orf38	3	88198893	88207113	+
C3orf39	3	43120729	43147565	-
C3orf43	3	196233751	196242237	-
C3orf45	3	50316518	50325544	+
C3orf52	3	111805182	111837073	+
C3orf54	3	49840687	49842463	+
C3orf55	3	157261159	157319019	+
C3orf57	3	161062581	161089871	-
C3orf58	3	143690640	143711209	+
C3orf59	3	192514607	192635950	-
C3orf62	3	49306030	49314508	-
C3orf63	3	56654161	56717135	-
C3orf64	3	69024369	69062774	-
C3orf67	3	58727737	59035715	-
C3orf70	3	184795840	184870802	-
C3orf71	3	48955221	48956818	-
C3orf72	3	138666076	138672830	+
C3orf75	3	47537131	47555199	-
C3orf77	3	44283378	44373589	+
C3orf78	3	52570621	52574586	+
C3orf79	3	153202284	153220483	+
C4A	6	31949834	32003194	+
C4B	6	31949834	32003194	+
C4BPA	1	207277607	207318308	+
C4BPB	1	207262212	207273335	+
C4orf14	4	57829517	57843826	-
C4orf17	4	100432161	100463458	+
C4orf19	4	37455552	37595131	+
C4orf21	4	113460490	113558151	-
C4orf22	4	81256874	81884896	+
C4orf23	4	8442532	8478281	+
C4orf26	4	76481258	76489927	+
C4orf27	4	170650620	170679093	-
C4orf29	4	128886461	128952445	+
C4orf3	4	120217575	120225600	-
C4orf31	4	121956782	121993673	-
C4orf32	4	113066553	113110237	+
C4orf33	4	130014829	130033842	+
C4orf34	4	39552550	39640481	-
C4orf35	4	71200671	71202832	+
C4orf36	4	87797359	87813575	-
C4orf37	4	98480027	99064391	-
C4orf39	4	165878100	165880273	+
C4orf40	4	71019904	71032324	+
C4orf41	4	184580446	184634744	+
C4orf43	4	164415673	164441690	+
C4orf44	4	3250767	3258341	+
C4orf45	4	159814684	159956333	-
C4orf46	4	159587831	159593202	-
C4orf47	4	186350545	186370821	+
C4orf48	4	2043720	2045697	+
C4orf49	4	140187317	140201492	-
C4orf50	4	5958845	5990166	-
C4orf51	4	146601356	146653946	+
C4orf52	4	25915814	25931500	+
C4orf6	4	5526883	5529525	+
C4orf7	4	71091815	71100966	+
C5	9	123714616	123812554	-
C5AR1	19	47813104	47825327	+
C5orf13	5	111065002	111312628	-
C5orf15	5	133291199	133304406	-
C5orf20	5	134779905	134783038	-
C5orf22	5	31532373	31555164	+
C5orf23	5	32788945	32791819	+
C5orf24	5	134181370	134195424	+
C5orf25	5	175665370	175772988	+
C5orf28	5	43444355	43483992	-
C5orf30	5	102594442	102614361	+
C5orf32	5	139554653	139623372	+
C5orf33	5	36192695	36242258	-
C5orf34	5	43486810	43515187	-
C5orf35	5	56205087	56221359	+
C5orf36	5	93486557	93954309	-
C5orf38	5	2752262	2755512	+
C5orf39	5	43039183	43040447	-
C5orf4	5	154198054	154230213	-
C5orf40	5	156768607	156772729	-
C5orf41	5	172483355	172566291	+
C5orf42	5	37106330	37249530	-
C5orf43	5	60453536	60458302	-
C5orf44	5	64920558	64961953	+
C5orf45	5	179264267	179285840	-
C5orf46	5	147272272	147286101	-
C5orf47	5	173416162	173433142	+
C5orf48	5	125967414	125971974	+
C5orf49	5	7831513	7851264	-
C5orf51	5	41904470	41921737	+
C5orf52	5	157098561	157107160	+
C5orf53	5	139505521	139508391	+
C5orf54	5	159820155	159827060	-
C5orf55	5	441645	443258	-
C5orf56	5	131746673	131798059	+
C5orf58	5	169659950	169673234	+
C5orf60	5	179068560	179072047	-
C5orf62	5	150157508	150176297	+
C6	5	41142336	41261540	-
C6orf1	6	34214158	34216904	-
C6orf10	6	32260477	32339656	-
C6orf103	6	146920136	147136595	+
C6orf105	6	11713890	11779280	-
C6orf106	6	34555066	34664625	-
C6orf108	6	43193369	43197211	-
C6orf114	6	13469511	13486415	-
C6orf115	6	139349819	139364439	+
C6orf118	6	165693155	165723111	-
C6orf120	6	170102257	170106401	+
C6orf125	6	33665346	33679504	-
C6orf126	6	35744392	35747329	+
C6orf127	6	35748831	35755840	+
C6orf129	6	37450699	37467700	-
C6orf130	6	41034532	41040188	-
C6orf132	6	42068858	42110715	-
C6orf134	6	30594613	30612446	+
C6orf136	6	30614816	30620986	+
C6orf138	6	47845764	48036425	-
C6orf141	6	49518113	49519806	+
C6orf142	6	53883714	54131074	+
C6orf145	6	3722836	3752246	-
C6orf146	6	4068602	4079391	-
C6orf15	6	31079000	31080332	-
C6orf150	6	74134856	74162043	-
C6orf153	6	42989385	42997337	+
C6orf154	6	43474707	43478424	-
C6orf162	6	88032306	88052043	+
C6orf163	6	88054571	88075180	+
C6orf165	6	88117690	88174191	+
C6orf167	6	97590038	97731052	-
C6orf168	6	99720794	99797531	-
C6orf170	6	121400627	121655644	-
C6orf174	6	127759552	127840500	-
C6orf182	6	109416356	109485113	+
C6orf186	6	110567149	110679475	-
C6orf191	6	130152391	130182416	-
C6orf192	6	133090507	133119747	-
C6orf195	6	2622972	2635298	-
C6orf201	6	4079440	4130998	+
C6orf203	6	107349407	107372544	+
C6orf204	6	118781942	119031238	-
C6orf211	6	151773422	151791232	+
C6orf221	6	74072400	74073896	+
C6orf222	6	36283537	36304662	-
C6orf223	6	43968337	43973692	+
C6orf225	6	112408674	112423992	+
C6orf226	6	42858005	42858554	-
C6orf25	6	31691161	31692850	+
C6orf26	6	31730773	31732622	+
C6orf27	6	31733372	31745108	-
C6orf35	6	157710055	157745253	-
C6orf47	6	31626075	31628549	-
C6orf48	6	31802693	31807539	+
C6orf52	6	10671653	10694839	-
C6orf57	6	71276625	71298606	+
C6orf58	6	127898319	127912958	+
C6orf62	6	24705092	24719403	-
C6orf64	6	39071840	39082865	-
C6orf70	6	170151721	170181617	+
C6orf72	6	149887528	149912067	+
C6orf81	6	35704859	35716681	+
C6orf89	6	36853640	36896738	+
C6orf94	6	144185573	144259481	+
C6orf97	6	151815175	151942327	+
C7	5	40909599	40983039	+
C7orf10	7	40174575	40900357	+
C7orf11	7	40172343	40174251	-
C7orf16	7	31726799	31748068	+
C7orf23	7	86825480	86849031	-
C7orf25	7	42948874	42951689	-
C7orf26	7	6629915	6648355	+
C7orf27	7	2577511	2595146	-
C7orf28A	7	5938341	5965601	+
C7orf28B	7	6838572	6865861	-
C7orf29	7	150026938	150029808	+
C7orf30	7	23338940	23349180	+
C7orf31	7	25174316	25219817	-
C7orf33	7	148287657	148312951	+
C7orf34	7	142636603	142637957	+
C7orf36	7	39606003	39612480	+
C7orf41	7	30174552	30202381	+
C7orf42	7	66386203	66423537	+
C7orf43	7	99752045	99756302	-
C7orf44	7	43678859	43769083	-
C7orf45	7	129847704	129856683	+
C7orf46	7	23719749	23742268	+
C7orf47	7	100032912	100034094	-
C7orf49	7	134850534	134855532	-
C7orf50	7	1036623	1177893	-
C7orf51	7	100081550	100092422	+
C7orf52	7	100813774	100823557	-
C7orf53	7	112120908	112130935	+
C7orf55	7	139025897	139030539	+
C7orf57	7	48075117	48100893	+
C7orf58	7	120628751	120937497	+
C7orf59	7	99746530	99751833	+
C7orf60	7	112459202	112579932	-
C7orf61	7	100054238	100061894	-
C7orf63	7	89874488	89940375	+
C7orf64	7	92158087	92166822	+
C7orf65	7	47694842	47701246	+
C7orf66	7	108524040	108524637	-
C7orf68	7	128095884	128098471	+
C7orf69	7	47834889	47859442	+
C7orf70	7	6369041	6388590	-
C7orf71	7	26677490	26686923	+
C7orf72	7	50135682	50199358	+
C8A	1	57320443	57383894	+
C8B	1	57394885	57431688	-
C8G	9	139839698	139841426	+
C8orf22	8	49984903	49988641	+
C8orf30A	8	145192672	145440827	+
C8orf31	8	144120679	144135720	+
C8orf33	8	146277824	146281415	+
C8orf34	8	69350148	69731256	+
C8orf37	8	96258235	96281437	-
C8orf38	8	96037221	96070937	+
C8orf4	8	40010989	40012821	+
C8orf40	8	42396298	42408139	+
C8orf41	8	33356237	33370703	-
C8orf42	8	441647	495331	-
C8orf44	8	67588454	67593235	+
C8orf45	8	67782984	67834282	+
C8orf46	8	67405491	67430757	+
C8orf47	8	99076750	99105838	+
C8orf48	8	13424352	13425796	+
C8orf55	8	143808621	143818350	+
C8orf58	8	22457122	22461660	+
C8orf59	8	86126288	86132643	-
C8orf73	8	144648365	144654928	-
C8orf74	8	10530147	10558103	+
C8orf76	8	124232231	124253617	-
C8orf79	8	12803183	12887282	+
C8orf80	8	27879483	27941388	-
C8orf83	8	93895760	93978372	-
C8orf84	8	73976779	74005507	-
C8orf85	8	117950464	117956237	+
C8orf86	8	38368352	38386180	-
C9	5	39284379	39364655	-
C9orf100	9	35659341	35665278	-
C9orf102	9	98637900	98731121	+
C9orf103	9	86237966	86259038	+
C9orf106	9	132083295	132084882	+
C9orf11	9	27284655	27297137	-
C9orf114	9	131584346	131592085	-
C9orf116	9	138387026	138391761	-
C9orf117	9	130469271	130476303	+
C9orf119	9	131038425	131051267	+
C9orf123	9	7796493	7799799	-
C9orf125	9	104237609	104249475	-
C9orf128	9	35817014	35828744	-
C9orf129	9	96080482	96108696	-
C9orf131	9	35041102	35045987	+
C9orf135	9	72435731	72521147	+
C9orf139	9	139921916	139931234	+
C9orf140	9	139956581	139965028	-
C9orf142	9	139886870	139888427	+
C9orf144B	9	34723052	34729535	-
C9orf150	9	12775012	12823058	+
C9orf152	9	112961848	112970413	-
C9orf153	9	88842227	88874519	-
C9orf156	9	100666772	100684852	-
C9orf16	9	130922539	130926207	+
C9orf163	9	139377947	139380518	+
C9orf167	9	140172280	140177092	+
C9orf169	9	140119644	140120762	+
C9orf170	9	89763559	89774641	+
C9orf171	9	135285611	135448674	+
C9orf172	9	139738867	139741796	+
C9orf173	9	140145730	140147934	+
C9orf21	9	99403534	99417599	-
C9orf23	9	34610493	34612101	-
C9orf24	9	34379017	34397849	-
C9orf25	9	34398183	34458568	-
C9orf3	9	97488994	97849440	+
C9orf30	9	103189642	103213511	+
C9orf37	9	140509785	140513308	-
C9orf4	9	111899581	111929571	-
C9orf40	9	77561500	77567802	-
C9orf41	9	77597875	77643310	-
C9orf43	9	116173022	116191877	+
C9orf46	9	5357973	5437860	-
C9orf47	9	91605778	91611055	+
C9orf5	9	111777416	111882225	-
C9orf50	9	132374506	132383055	-
C9orf57	9	74666298	74675521	-
C9orf6	9	111696673	111703235	+
C9orf64	9	86553229	86571663	-
C9orf66	9	213109	215893	-
C9orf68	9	4598321	4666674	-
C9orf69	9	139006428	139010731	-
C9orf7	9	136325087	136335909	+
C9orf71	9	71151500	71155783	-
C9orf72	9	27546544	27573842	-
C9orf78	9	132589565	132597572	-
C9orf79	9	90497772	90503812	+
C9orf80	9	115448793	115480387	-
C9orf82	9	26840684	26892826	-
C9orf84	9	114448902	114545779	-
C9orf85	9	74526423	74588369	+
C9orf86	9	139702374	139735639	+
C9orf89	9	95858450	95875564	+
C9orf9	9	135754290	135765418	+
C9orf91	9	117373706	117408696	+
C9orf93	9	15553097	15971895	+
C9orf95	9	77676118	77703133	-
C9orf96	9	136243284	136271219	+
C9orf98	9	135600965	135754198	-
CA1	8	86240458	86290342	-
CA10	17	49707675	50237377	-
CA11	19	49141272	49149451	-
CA12	15	63615731	63674075	-
CA13	8	86157716	86196302	+
CA14	1	150230218	150237476	+
CA2	8	86376131	86393721	+
CA3	8	86351056	86361265	+
CA4	17	58227302	58236904	+
CA5A	16	87921625	87970112	-
CA5B	23	15756412	15805747	+
CA6	1	9005922	9035146	+
CA7	16	66878282	66888047	+
CA8	8	61101423	61193954	-
CA9	9	35673915	35681152	+
CAB39	2	231577557	231685789	+
CAB39L	13	49882787	50018221	-
CABC1	1	227127938	227175246	+
CABIN1	22	24407765	24574596	+
CABLES1	18	20715727	20840434	+
CABLES2	20	60963686	60982339	-
CABP1	12	121078422	121105125	+
CABP2	11	67286418	67290899	-
CABP4	11	67222818	67229243	+
CABP5	19	48533210	48547304	-
CABP7	22	30116344	30127818	+
CABYR	18	21718955	21741563	+
CACHD1	1	64936476	65158741	+
CACNA1A	19	13317256	13617274	-
CACNA1B	9	140772241	141019075	+
CACNA1C	12	2162416	2807115	+
CACNA1D	3	53529031	53846491	+
CACNA1E	1	181452716	181770713	+
CACNA1F	23	49061524	49089833	-
CACNA1G	17	48638449	48704542	+
CACNA1H	16	1203241	1271771	+
CACNA1I	22	39966758	40085738	+
CACNA1S	1	201008641	201081694	-
CACNA2D1	7	81579418	82073031	-
CACNA2D2	3	50400233	50540892	-
CACNA2D3	3	54156693	55108582	+
CACNA2D4	12	1901124	2027870	-
CACNB1	17	37329709	37353901	-
CACNB2	10	18429606	18830688	+
CACNB3	12	49212512	49222724	+
CACNB4	2	152689288	152955593	-
CACNG1	17	65040706	65052909	+
CACNG2	22	36960104	37098903	-
CACNG3	16	24266876	24373736	+
CACNG4	17	64961013	65029518	+
CACNG5	17	64873451	64881356	+
CACNG6	19	54495542	54515918	+
CACNG7	19	54416071	54446268	+
CACNG8	19	54466294	54486139	+
CACYBP	1	174968571	174981163	+
CAD	2	27440258	27466653	+
CADM1	11	115044346	115375241	-
CADM2	3	85008133	86123577	+
CADM3	1	159141377	159172932	+
CADM4	19	44126522	44143991	-
CADPS	3	62384021	62861064	-
CADPS2	7	121958479	122526813	-
CAGE1	6	7326889	7389942	-
CALB1	8	91070838	91095107	-
CALB2	16	71392616	71424339	+
CALCA	11	14988216	14993832	-
CALCB	11	15095146	15100177	+
CALCOCO1	12	54104903	54121307	-
CALCOCO2	17	46908372	46942228	+
CALCR	7	93053799	93204042	-
CALCRL	2	188207851	188313021	-
CALD1	7	134464164	134655479	+
CALHM1	10	105213144	105218648	-
CALHM2	10	105206545	105212162	-
CALHM3	10	105232562	105238997	-
CALM1	14	90863327	90874617	+
CALM2	2	47387221	47403740	-
CALM3	19	47104512	47114038	+
CALML3	10	5566924	5568225	+
CALML4	15	68483044	68498448	-
CALML5	10	5540658	5541533	-
CALML6	1	1846266	1848733	+
CALN1	7	71244477	71877360	-
CALR	19	13049414	13055304	+
CALR3	19	16589875	16607003	-
CALU	7	128379346	128411530	+
CALY	10	135138928	135150475	-
CAMK1	3	9799033	9811661	-
CAMK1D	10	12391583	12871731	+
CAMK1G	1	209757045	209787283	+
CAMK2A	5	149599054	149669403	-
CAMK2B	7	44256749	44365230	-
CAMK2D	4	114372190	114683083	-
CAMK2G	10	75572259	75634343	-
CAMK2N1	1	20808885	20812728	-
CAMK2N2	3	183977003	183979251	-
CAMK4	5	110560082	110820746	+
CAMKK1	17	3763625	3796337	-
CAMKK2	12	121675496	121736111	-
CAMKV	3	49895422	49907369	-
CAMLG	5	134074206	134087841	+
CAMP	3	48264862	48266975	+
CAMSAP1	9	138700334	138799005	-
CAMSAP1L1	1	200708686	200829829	+
CAMTA1	1	6845384	7829763	+
CAMTA2	17	4871287	4890960	-
CAND1	12	67663061	67708388	+
CAND2	3	12838171	12876313	+
CANT1	17	76987799	77005899	-
CANX	5	179125930	179158637	+
CAP1	1	40506255	40538323	+
CAP2	6	17393736	17558021	+
CAPG	2	85621871	85637676	-
CAPN1	11	64949343	64979476	+
CAPN10	2	241526145	241557122	+
CAPN11	6	44126548	44152139	+
CAPN12	19	39220832	39235114	-
CAPN13	2	30945640	31030311	-
CAPN14	2	31395924	31440411	-
CAPN2	1	223889295	223963718	+
CAPN3	15	42640301	42704515	+
CAPN5	11	76777992	76837196	+
CAPN6	23	110488328	110513774	-
CAPN7	3	15247733	15294422	+
CAPN8	1	223714972	223853436	-
CAPN9	1	230883130	230937749	+
CAPNS1	19	36630918	36641254	+
CAPNS2	16	55600584	55601592	+
CAPRIN1	11	34073230	34124157	+
CAPRIN2	12	30862486	30907448	-
CAPS	19	5914193	5916221	+
CAPS2	12	75669760	75723836	-
CAPSL	5	35904398	35938881	-
CAPZA1	1	113162075	113214241	+
CAPZA2	7	116502563	116559312	+
CAPZA3	12	18891045	18892121	+
CAPZB	1	19665267	19812066	-
CARD10	22	37886401	37915210	-
CARD11	7	2945769	3083579	-
CARD14	17	78152281	78182851	+
CARD16	11	104912053	104916051	-
CARD17	11	104963196	104972158	-
CARD18	11	105008448	105010461	-
CARD6	5	40841410	40855454	+
CARD8	19	48711344	48759203	-
CARD9	9	139258408	139268133	-
CARHSP1	16	8946802	8962863	-
CARKD	13	111268008	111292340	+
CARM1	19	10982253	11033447	+
CARNS1	11	67183149	67193076	+
CARS	11	3022160	3078671	-
CARS2	13	111293757	111358480	-
CARTPT	5	71014990	71016875	+
CASC1	12	25261227	25348094	-
CASC3	17	38296507	38328432	+
CASC4	15	44580929	44707958	+
CASC5	15	40886447	40954881	+
CASD1	7	94139170	94186326	+
CASK	23	41374191	41782287	-
CASKIN1	16	2227184	2246465	-
CASKIN2	17	73496343	73511627	-
CASP1	11	104896246	104972158	-
CASP10	2	202047621	202094110	+
CASP14	19	15163015	15166900	+
CASP2	7	142985402	143004784	+
CASP3	4	185548852	185570629	-
CASP4	11	104813594	104839325	-
CASP5	11	104864967	104893895	-
CASP6	4	110609785	110624629	-
CASP7	10	115438935	115490662	+
CASP8	2	202098166	202152434	+
CASP8AP2	6	90539619	90584154	+
CASP9	1	15818797	15850790	-
CASQ1	1	160160285	160171674	+
CASQ2	1	116242628	116311426	-
CASR	3	121902530	122005343	+
CASS4	20	54987168	55034396	+
CAST	5	95997941	96110383	+
CASZ1	1	10696668	10856707	-
CAT	11	34460472	34493606	+
CATSPER1	11	65784224	65793988	-
CATSPER2	15	43922774	43941039	-
CATSPER3	5	134303596	134347397	+
CATSPER4	1	26517119	26529032	+
CATSPERB	14	92047118	92198413	-
CATSPERG	19	38826443	38861588	+
CAV1	7	116164839	116201238	+
CAV2	7	116139444	116148594	+
CAV3	3	8775496	8788450	+
CBARA1	10	74127098	74385899	-
CBFA2T2	20	32077928	32237837	+
CBFA2T3	16	88941267	89043401	-
CBFB	16	67063050	67134956	+
CBL	11	119076990	119178858	+
CBLB	3	105377110	105587887	-
CBLC	19	45281126	45303902	+
CBLL1	7	107384279	107402082	+
CBLN1	16	49311831	49315742	-
CBLN2	18	70203915	70211723	-
CBLN3	14	24895742	24898731	-
CBLN4	20	54572497	54580012	-
CBR1	21	37442285	37445462	+
CBR3	21	37507263	37518858	+
CBR4	4	169908744	169931422	-
CBS	21	44473301	44496472	-
CBWD1	9	121039	179075	-
CBWD2	2	114195268	114253780	+
CBWD3	9	70432001	70914931	+/-
CBWD5	9	70432005	70490171	-
CBWD6	9	69204539	69262593	-
CBX1	17	46147415	46178883	-
CBX2	17	77751977	77761449	+
CBX3	7	26241099	26252974	+
CBX4	17	77806956	77813213	-
CBX5	12	54624732	54673915	-
CBX6	22	39260264	39268258	-
CBX7	22	39526790	39548538	-
CBX8	17	77768178	77770915	-
CBY1	22	39052658	39069853	+
CBY3	5	179105559	179107975	-
CC2D1A	19	14016956	14041693	+
CC2D1B	1	52816267	52831864	-
CC2D2A	4	15471489	15603180	+
CC2D2B	10	97759848	97792440	+
CCAR1	10	70480971	70551307	+
CCBE1	18	57098172	57364644	-
CCBL1	9	131595393	131644354	-
CCBL2	1	89401456	89458643	-
CCBP2	3	42850964	42908774	+
CCDC101	16	28565249	28603110	+
CCDC102A	16	57546092	57570477	-
CCDC102B	18	66382491	66722426	+
CCDC103	17	42977154	42980627	+
CCDC104	2	55746740	55772216	+
CCDC105	19	15121539	15134083	+
CCDC106	19	56158954	56164524	+
CCDC107	9	35658311	35661183	+
CCDC108	2	219867576	219906245	-
CCDC109A	10	74451889	74647450	+
CCDC109B	4	110481355	110608868	+
CCDC11	18	47753563	47792865	-
CCDC110	4	186366339	186392913	-
CCDC111	4	185570767	185616112	+
CCDC112	5	114602885	114632458	-
CCDC113	16	58283840	58317732	+
CCDC114	19	48799709	48823332	-
CCDC115	2	131095816	131099922	-
CCDC116	22	21987086	21991615	+
CCDC117	22	29168662	29185282	+
CCDC12	3	46963220	47018270	-
CCDC120	23	48916516	48927509	+
CCDC121	2	27848506	27851898	-
CCDC122	13	44410491	44453826	-
CCDC123	19	33369906	33462869	-
CCDC124	19	18043824	18054793	+
CCDC125	5	68576519	68616410	-
CCDC126	7	23636998	23684326	+
CCDC127	5	204875	218297	-
CCDC129	7	31556978	31693303	+
CCDC13	3	42749875	42814745	-
CCDC130	19	13858753	13874106	+
CCDC132	7	92861653	92988337	+
CCDC134	22	42196678	42222303	+
CCDC135	16	57728713	57765366	+
CCDC136	7	128432099	128462183	+
CCDC137	17	79633761	79640934	+
CCDC138	2	109403219	109492847	+
CCDC14	3	123632276	123680255	-
CCDC140	2	223162866	223169936	+
CCDC141	2	179700492	179749678	-
CCDC142	2	74699960	74710357	-
CCDC144A	17	16593639	16678311	+
CCDC144B	17	18486722	18528845	-
CCDC144NL	17	20766710	20799453	-
CCDC146	7	76751934	76924519	+
CCDC147	10	106113522	106214839	+
CCDC148	2	159027869	159313265	-
CCDC149	4	24809392	24981770	-
CCDC15	11	124824017	124911383	+
CCDC150	2	197504356	197597530	+
CCDC151	19	11531273	11545980	-
CCDC152	5	42756920	42802539	+
CCDC153	11	119060965	119066584	-
CCDC154	16	1484390	1494490	-
CCDC155	19	49891475	49921256	+
CCDC157	22	30752627	30772816	+
CCDC158	4	77234193	77328458	-
CCDC159	19	11457181	11465619	+
CCDC160	23	133371077	133379806	+
CCDC17	1	46085717	46089731	-
CCDC18	1	93645920	93744266	+
CCDC19	1	159842156	159869906	-
CCDC21	1	26560693	26605299	+
CCDC22	23	49091927	49106985	+
CCDC23	1	43272723	43283059	-
CCDC24	1	44457280	44462196	+
CCDC25	8	27590835	27630170	-
CCDC27	1	3668965	3688209	+
CCDC28A	6	139094657	139114454	+
CCDC28B	1	32666202	32670991	+
CCDC3	10	12938625	13043704	-
CCDC30	1	43000560	43120335	+
CCDC33	15	74528667	74628481	+
CCDC34	11	27360061	27384795	-
CCDC36	3	49235861	49295537	+
CCDC37	3	126113782	126155398	+
CCDC38	12	96260827	96336428	-
CCDC39	3	180331797	180397283	-
CCDC40	17	78010435	78074410	+
CCDC41	12	94702058	94853764	-
CCDC42	17	8633247	8648154	-
CCDC42B	12	113587663	113597080	+
CCDC43	17	42754805	42767165	-
CCDC45	17	62503158	62534060	+
CCDC46	17	63631659	64187987	-
CCDC47	17	61822611	61851088	-
CCDC48	3	128720472	128759583	+
CCDC50	3	191046874	191116458	+
CCDC51	3	48473582	48481529	-
CCDC52	3	113161567	113234034	-
CCDC53	12	102406718	102455899	-
CCDC54	3	107096188	107097481	+
CCDC55	17	28443834	28513485	+
CCDC56	17	40949653	40950704	-
CCDC57	17	80059346	80170689	-
CCDC58	3	122078437	122102074	-
CCDC59	12	82746085	82752199	-
CCDC6	10	61548522	61666818	-
CCDC60	12	119772517	119978851	+
CCDC61	19	46498339	46521873	+
CCDC62	12	123259073	123311925	+
